Severity|Count|Node|Property|First Occurrence|Summary
1|4|media_fe2|Media|2015-02-27 00:00:19|Apache latency
1|4|media_fe3|Media|2015-02-27 00:00:58|Apache latency
1|10|search_fe6|Search|2015-02-27 00:02:05|Apache latency
3|8|messenger_be10|Messenger|2015-02-27 00:04:02|Software error
4|1|rev_mw6|Revenue|2015-02-27 00:04:04|Down to ping
4|8|messenger_db5|Messenger|2015-02-27 00:04:20|Software error
4|10|mail_db8|Mail|2015-02-27 00:07:25|Software error
4|6|flickr_db8|Flickr|2015-02-27 00:08:15|Software error
3|2|fp_be9|Frontpage|2015-02-27 00:09:49|Hardware error
2|3|rev_fe4|Revenue|2015-02-27 00:11:10|Software error
1|1|mail_fe2|Mail|2015-02-27 00:11:16|Apache latency
3|8|media_mw4|Media|2015-02-27 00:11:58|Capacity exceeded
2|4|rev_fe1|Revenue|2015-02-27 00:12:17|Software error
6|6|rev_mon1|Revenue|2015-02-27 00:14:36|Site down
5|4|fp_db6|Frontpage|2015-02-27 00:15:30|Down to ping
3|7|mail_be6|Mail|2015-02-27 00:16:47|Hardware error
3|7|media_be5|Media|2015-02-27 00:20:38|Capacity exceeded
4|2|flickr_be3|Flickr|2015-02-27 00:22:38|Down to ping
5|10|flickr_mon1|Flickr|2015-02-27 00:22:56|Severe site latency
3|9|mail_be4|Mail|2015-02-27 00:24:18|Capacity exceeded
1|3|search_fe7|Search|2015-02-27 00:24:38|Apache latency
3|5|rev_be10|Revenue|2015-02-27 00:24:44|Capacity exceeded
3|5|mail_be9|Mail|2015-02-27 00:24:49|Software error
1|3|messenger_fe8|Messenger|2015-02-27 00:26:16|Apache latency
5|8|messenger_mon1|Messenger|2015-02-27 00:26:23|Severe site latency
3|7|media_be4|Media|2015-02-27 00:26:54|Hardware error
6|9|media_mon1|Media|2015-02-27 00:27:29|Site down
4|7|mail_mw2|Mail|2015-02-27 00:28:07|Down to ping
5|5|rev_mon1|Revenue|2015-02-27 00:29:03|Severe site latency
6|3|search_mon1|Search|2015-02-27 00:29:26|Site down
3|2|rev_mw2|Revenue|2015-02-27 00:29:26|Hardware error
2|4|rev_fe10|Revenue|2015-02-27 00:29:29|Software error
3|8|mail_be2|Mail|2015-02-27 00:30:29|Hardware error
3|10|fp_fe5|Frontpage|2015-02-27 00:30:58|Down to ping
3|8|rev_mw6|Revenue|2015-02-27 00:31:05|Software error
4|6|fp_db1|Frontpage|2015-02-27 00:31:36|Capacity exceeded
3|7|rev_be2|Revenue|2015-02-27 00:31:47|Software error
1|5|fp_fe2|Frontpage|2015-02-27 00:31:52|Apache latency
5|6|search_db2|Search|2015-02-27 00:32:44|Down to ping
4|3|rev_mw9|Revenue|2015-02-27 00:32:44|Down to ping
2|9|search_fe6|Search|2015-02-27 00:33:09|Capacity exceeded
1|4|mail_fe2|Mail|2015-02-27 00:34:38|Apache latency
2|9|flickr_fe3|Flickr|2015-02-27 00:35:02|Capacity exceeded
6|5|search_mon1|Search|2015-02-27 00:35:18|Site down
4|6|search_be1|Search|2015-02-27 00:36:33|Down to ping
4|8|flickr_db6|Flickr|2015-02-27 00:38:27|Software error
4|6|media_mw2|Media|2015-02-27 00:40:37|Down to ping
3|3|rev_mw6|Revenue|2015-02-27 00:41:04|Hardware error
1|3|rev_fe6|Revenue|2015-02-27 00:43:02|Apache latency
3|1|rev_mw2|Revenue|2015-02-27 00:43:17|Software error
1|7|flickr_fe2|Flickr|2015-02-27 00:43:20|Apache latency
3|6|search_mw8|Search|2015-02-27 00:43:23|Software error
6|8|mail_mon1|Mail|2015-02-27 00:43:26|Site down
3|9|media_be5|Media|2015-02-27 00:44:12|Software error
3|10|search_be2|Search|2015-02-27 00:44:21|Software error
3|6|media_mw9|Media|2015-02-27 00:44:34|Hardware error
1|6|rev_fe6|Revenue|2015-02-27 00:45:01|Apache latency
3|10|search_be5|Search|2015-02-27 00:45:56|Capacity exceeded
5|3|search_db1|Search|2015-02-27 00:46:27|Down to ping
5|3|fp_mon1|Frontpage|2015-02-27 00:46:43|Severe site latency
4|9|fp_be1|Frontpage|2015-02-27 00:47:20|Down to ping
1|3|fp_fe3|Frontpage|2015-02-27 00:47:24|Apache latency
1|2|fp_fe3|Frontpage|2015-02-27 00:47:25|Apache latency
4|6|search_db9|Search|2015-02-27 00:47:45|Software error
3|10|messenger_be7|Messenger|2015-02-27 00:48:18|Capacity exceeded
1|4|flickr_fe5|Flickr|2015-02-27 00:48:26|Apache latency
3|7|fp_fe2|Frontpage|2015-02-27 00:48:35|Down to ping
5|9|rev_mon1|Revenue|2015-02-27 00:49:06|Severe site latency
2|7|rev_fe10|Revenue|2015-02-27 00:49:19|Software error
3|5|mail_mw6|Mail|2015-02-27 00:49:29|Software error
5|10|mail_db4|Mail|2015-02-27 00:50:37|Down to ping
3|3|search_mw7|Search|2015-02-27 00:50:55|Capacity exceeded
3|10|mail_be4|Mail|2015-02-27 00:51:21|Software error
2|5|rev_fe7|Revenue|2015-02-27 00:51:41|Software error
4|7|fp_be4|Frontpage|2015-02-27 00:53:51|Down to ping
4|3|mail_be8|Mail|2015-02-27 00:54:06|Down to ping
3|10|mail_be6|Mail|2015-02-27 00:54:34|Software error
5|1|search_mon1|Search|2015-02-27 00:55:20|Severe site latency
4|6|media_mw4|Media|2015-02-27 00:55:57|Down to ping
4|9|rev_db9|Revenue|2015-02-27 00:56:05|Software error
4|5|fp_db7|Frontpage|2015-02-27 00:56:19|Hardware error
1|9|messenger_fe6|Messenger|2015-02-27 00:58:44|Apache latency
5|9|rev_db1|Revenue|2015-02-27 00:59:15|Down to ping
2|8|fp_fe4|Frontpage|2015-02-27 00:59:19|Software error
4|5|fp_be3|Frontpage|2015-02-27 00:59:53|Down to ping
4|8|fp_be3|Frontpage|2015-02-27 01:01:16|Down to ping
4|4|fp_db5|Frontpage|2015-02-27 01:02:42|Capacity exceeded
2|1|flickr_fe4|Flickr|2015-02-27 01:03:04|Capacity exceeded
3|10|media_be6|Media|2015-02-27 01:04:02|Software error
3|2|mail_be4|Mail|2015-02-27 01:05:01|Hardware error
3|2|flickr_be1|Flickr|2015-02-27 01:05:24|Capacity exceeded
4|8|fp_be2|Frontpage|2015-02-27 01:05:31|Down to ping
2|2|mail_fe4|Mail|2015-02-27 01:06:11|Hardware error
4|5|mail_db6|Mail|2015-02-27 01:08:02|Capacity exceeded
3|4|media_be7|Media|2015-02-27 01:08:13|Capacity exceeded
3|6|mail_mw7|Mail|2015-02-27 01:08:20|Software error
3|4|flickr_be9|Flickr|2015-02-27 01:08:54|Capacity exceeded
3|6|rev_be2|Revenue|2015-02-27 01:09:38|Software error
3|6|mail_be6|Mail|2015-02-27 01:10:24|Capacity exceeded
4|2|search_db9|Search|2015-02-27 01:12:33|Hardware error
4|10|fp_db7|Frontpage|2015-02-27 01:13:28|Hardware error
4|1|mail_be3|Mail|2015-02-27 01:13:30|Down to ping
1|10|mail_fe8|Mail|2015-02-27 01:13:45|Apache latency
4|7|messenger_db5|Messenger|2015-02-27 01:14:14|Hardware error
3|8|rev_mw1|Revenue|2015-02-27 01:14:47|Capacity exceeded
2|9|rev_fe7|Revenue|2015-02-27 01:14:55|Hardware error
1|8|media_fe2|Media|2015-02-27 01:14:57|Apache latency
3|9|search_fe9|Search|2015-02-27 01:15:49|Down to ping
3|1|flickr_fe4|Flickr|2015-02-27 01:17:13|Down to ping
1|5|messenger_fe5|Messenger|2015-02-27 01:17:36|Apache latency
1|8|mail_fe6|Mail|2015-02-27 01:17:43|Apache latency
4|2|flickr_be4|Flickr|2015-02-27 01:17:45|Down to ping
4|7|flickr_mw4|Flickr|2015-02-27 01:17:46|Down to ping
4|2|mail_mw7|Mail|2015-02-27 01:18:01|Down to ping
4|1|media_mw9|Media|2015-02-27 01:18:26|Down to ping
1|10|search_fe1|Search|2015-02-27 01:18:26|Apache latency
1|1|rev_fe8|Revenue|2015-02-27 01:18:41|Apache latency
4|1|fp_db2|Frontpage|2015-02-27 01:18:49|Capacity exceeded
4|10|media_db9|Media|2015-02-27 01:19:09|Hardware error
4|4|media_db10|Media|2015-02-27 01:19:23|Capacity exceeded
4|10|search_mw1|Search|2015-02-27 01:21:02|Down to ping
3|2|search_be8|Search|2015-02-27 01:21:19|Software error
3|3|mail_be6|Mail|2015-02-27 01:21:39|Capacity exceeded
2|3|media_fe6|Media|2015-02-27 01:21:42|Capacity exceeded
1|4|flickr_fe7|Flickr|2015-02-27 01:22:20|Apache latency
1|9|flickr_fe4|Flickr|2015-02-27 01:22:21|Apache latency
3|7|fp_be9|Frontpage|2015-02-27 01:22:46|Hardware error
4|1|fp_db8|Frontpage|2015-02-27 01:23:41|Software error
3|1|mail_mw3|Mail|2015-02-27 01:23:49|Capacity exceeded
2|10|rev_fe8|Revenue|2015-02-27 01:24:53|Capacity exceeded
1|3|mail_fe2|Mail|2015-02-27 01:24:56|Apache latency
1|7|messenger_fe6|Messenger|2015-02-27 01:25:27|Apache latency
4|6|messenger_db6|Messenger|2015-02-27 01:27:30|Capacity exceeded
3|10|media_mw1|Media|2015-02-27 01:27:32|Hardware error
3|5|fp_be1|Frontpage|2015-02-27 01:27:40|Hardware error
3|9|mail_mw7|Mail|2015-02-27 01:27:50|Hardware error
4|10|mail_be8|Mail|2015-02-27 01:28:19|Down to ping
3|5|media_mw6|Media|2015-02-27 01:28:25|Software error
4|8|messenger_db10|Messenger|2015-02-27 01:29:14|Software error
3|1|messenger_mw6|Messenger|2015-02-27 01:29:20|Hardware error
1|3|media_fe3|Media|2015-02-27 01:30:28|Apache latency
6|1|mail_mon1|Mail|2015-02-27 01:30:33|Site down
1|8|flickr_fe4|Flickr|2015-02-27 01:31:23|Apache latency
3|3|fp_be1|Frontpage|2015-02-27 01:32:08|Software error
1|6|rev_fe4|Revenue|2015-02-27 01:32:10|Apache latency
4|4|search_mw9|Search|2015-02-27 01:34:52|Down to ping
2|6|fp_fe8|Frontpage|2015-02-27 01:35:10|Software error
2|9|mail_fe4|Mail|2015-02-27 01:35:33|Software error
3|10|mail_fe2|Mail|2015-02-27 01:35:51|Down to ping
3|9|rev_be7|Revenue|2015-02-27 01:37:37|Capacity exceeded
3|5|fp_be6|Frontpage|2015-02-27 01:39:09|Hardware error
6|4|search_mon1|Search|2015-02-27 01:39:16|Site down
2|6|search_fe2|Search|2015-02-27 01:40:00|Capacity exceeded
6|1|media_mon1|Media|2015-02-27 01:40:20|Site down
4|9|search_mw7|Search|2015-02-27 01:40:28|Down to ping
6|3|search_mon1|Search|2015-02-27 01:40:30|Site down
4|6|media_be3|Media|2015-02-27 01:40:55|Down to ping
4|4|fp_mw4|Frontpage|2015-02-27 01:41:25|Down to ping
4|1|mail_mw7|Mail|2015-02-27 01:42:36|Down to ping
3|10|search_fe1|Search|2015-02-27 01:44:18|Down to ping
